event_title,event_category,event_date,location,description
مساعدة في تنظيم فعالية - 2024-01-16,مساعدة في تنظيم فعالية,2024-01-16,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-01-18,مساعدة في تنظيم فعالية,2024-01-18,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-01-20,تقديم دروس تقوية,2024-01-20,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-01-20,تنظيم مباراة رياضية,2024-01-20,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-01-25,تقديم دورة,2024-01-25,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-01-28,تقديم دورة,2024-01-28,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-02-04,تنظيم لقاء أو فعالية,2024-02-04,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-18,مساعدة في تنظيم فعالية,2024-02-18,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-21,مساعدة في تنظيم فعالية,2024-02-21,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-22,مساعدة في تنظيم فعالية,2024-02-22,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-23,مساعدة في تنظيم فعالية,2024-02-23,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-02-27,تقديم دروس تقوية,2024-02-27,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-02-27,تنظيم مباراة رياضية,2024-02-27,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-29,مساعدة في تنظيم فعالية,2024-02-29,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-03-01,تقديم دروس تقوية,2024-03-01,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-03-01,تنظيم مباراة رياضية,2024-03-01,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-03-03,تقديم دروس تقوية,2024-03-03,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-03-03,تنظيم مباراة رياضية,2024-03-03,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-03-03,مساعدة في تنظيم فعالية,2024-03-03,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-03-31,تقديم دروس تقوية,2024-03-31,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-03-31,تنظيم مباراة رياضية,2024-03-31,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-04-04,تنظيم لقاء أو فعالية,2024-04-04,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-04-08,مساعدة في تنظيم فعالية,2024-04-08,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-04-09,مساعدة في تنظيم فعالية,2024-04-09,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-04-10,مساعدة في تنظيم فعالية,2024-04-10,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-05-25,تقديم دروس تقوية,2024-05-25,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-05-25,تنظيم مباراة رياضية,2024-05-25,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-06-04,تقديم دورة,2024-06-04,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-06-13,مساعدة في تنظيم فعالية,2024-06-13,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-06-14,مساعدة في تنظيم فعالية,2024-06-14,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-06-16,مساعدة في تنظيم فعالية,2024-06-16,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-06-22,تقديم دروس تقوية,2024-06-22,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-06-22,تنظيم مباراة رياضية,2024-06-22,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-06-28,تقديم دورة,2024-06-28,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-06-29,تنظيم مباراة رياضية,2024-06-29,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-07-11,تقديم دورة,2024-07-11,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-08-16,مساعدة في تنظيم فعالية,2024-08-16,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-08-28,مساعدة في تنظيم فعالية,2024-08-28,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-09,مساعدة في تنظيم فعالية,2024-09-09,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-12,مساعدة في تنظيم فعالية,2024-09-12,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-13,مساعدة في تنظيم فعالية,2024-09-13,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-25,مساعدة في تنظيم فعالية,2024-09-25,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-26,مساعدة في تنظيم فعالية,2024-09-26,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-09-27,مساعدة في تنظيم فعالية,2024-09-27,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-10-03,تقديم دورة,2024-10-03,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-10-05,مساعدة في تنظيم فعالية,2024-10-05,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-10-08,تقديم دورة,2024-10-08,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-10-08,تنظيم لقاء أو فعالية,2024-10-08,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-10-21,تقديم دورة,2024-10-21,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-10-21,تنظيم لقاء أو فعالية,2024-10-21,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-10-30,تقديم دورة,2024-10-30,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-11-06,تقديم دورة,2024-11-06,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-11-25,تقديم دورة,2024-11-25,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-11-25,تنظيم لقاء أو فعالية,2024-11-25,,Imported from volunteer-hours spreadsheet
